id,date,region,product,quantity,unit_price,customer_age,customer_gender,discount_rate,weather,holiday,sales
1,2023-01-01,広島,A商品,57.0,853.8087448569054,60.14207682893953,男性,0.13788982630693805,雪,False,41956.40070376679
2,2023-01-02,福岡,A商品,42.0,1151.584369984724,32.325878421097556,女性,0.06708076449710133,曇り,False,45122.07882265591
3,2023-01-03,札幌,A商品,53.0,1137.1015477580409,22.51476059312398,女性,0.28003653157495567,雪,False,43389.59343659436
4,2023-01-04,広島,E商品,54.0,1369.7217666592824,43.62232853497567,男性,0.10337897871809153,雨,False,66318.5517818817
5,2023-01-05,名古屋,D商品,55.0,964.8872109001569,43.68847006834228,男性,0.048295329506212424,雪,True,50505.82158123719
6,2023-01-06,金沢,E商品,47.0,1133.7309609515814,53.22479441331748,女性,0.16894931653618647,晴れ,False,44282.8308282562
7,2023-01-07,札幌,D商品,38.0,1019.6135079077889,59.24391857046732,男性,0.28313223610344485,曇り,False,27775.266107198007
8,2023-01-08,札幌,E商品,51.0,1259.174356372603,44.10877228091259,男性,0.0011490871500967725,曇り,False,64144.100220298154
9,2023-01-09,広島,E商品,49.0,856.2335224782539,72.83254972191395,女性,0.07143745297619962,雪,False,38958.252643498825
10,2023-01-10,大阪,C商品,50.0,1149.0010625754562,48.36352116802938,女性,0.28153429212312225,雨,False,41275.893088727986
11,2023-01-11,名古屋,E商品,38.0,961.0605407766636,39.803602409896506,女性,0.05132579005714861,曇り,False,34645.86727068493
12,2023-01-12,広島,B商品,44.0,987.1623645783004,20.826489613457582,男性,0.033973035491945955,晴れ,False,41959.52035132741
13,2023-01-13,名古屋,C商品,59.0,1018.3504968896746,41.06010719525749,女性,0.17105616473994134,晴れ,True,49805.166625312086
14,2023-01-14,名古屋,E商品,43.0,1050.4480792853356,39.95419581883296,女性,0.25855314698844895,曇り,False,33490.61117344003
15,2023-01-15,金沢,A商品,53.0,976.7541913756083,59.404571944222056,男性,0.14313294530817783,雨,False,44358.26981746123
16,2023-01-16,札幌,B商品,51.0,1042.9426366341054,51.937254361002815,女性,0.2983692770053574,雨,False,37319.79040535983
17,2023-01-17,福岡,B商品,43.0,1315.623611512437,27.309463175510743,男性,0.20375150986139784,雪,False,45045.22251307134
18,2023-01-18,金沢,B商品,37.0,1197.0899371230437,47.58381579616556,男性,0.022222472163134322,雪,False,43308.04265478667
19,2023-01-19,金沢,C商品,45.0,1173.8309184993793,55.0729675759358,男性,0.2978496395045926,曇り,False,37089.26111632474
20,2023-01-20,名古屋,E商品,59.0,,67.92047039081748,男性,0.12236827103405712,雪,False,47062.67989531809
21,2023-01-21,仙台,E商品,55.0,822.1518343543352,58.31255951121089,男性,0.08622076015364476,雪,False,41319.59030290251
22,2023-01-22,札幌,A商品,,1191.0601116475505,56.412699814672166,男性,0.16736375507336568,雪,False,46610.83148567337
23,2023-01-23,大阪,A商品,59.0,1175.2093585059588,45.90128991922745,女性,0.09129227754625929,晴れ,True,63007.38735488201
24,2023-01-24,金沢,B商品,49.0,1294.5341351501963,50.824680081351744,女性,0.025937252136045696,雪,False,61786.9163675163
25,2023-01-25,福岡,A商品,50.0,879.2038748061541,63.74257351059238,女性,0.0004285029237530158,曇り,False,43941.35666876123
26,2023-01-26,仙台,C商品,61.0,954.0902689279305,25.008339037805253,男性,0.13487500587607867,雨,False,50349.847636297956
27,2023-01-27,仙台,E商品,45.0,672.1031674949131,39.75841009174566,女性,0.2510590266679777,雪,False,22651.452019942895
28,2023-01-28,大阪,B商品,62.0,921.5057787878254,33.41146876865639,男性,0.17169455568902295,雨,False,47323.87171910693
29,2023-01-29,金沢,A商品,53.0,1199.3141021158895,50.68729678089186,女性,0.29976218968303225,雪,False,44509.669279638205
30,2023-01-30,福岡,C商品,55.0,906.7009241543605,63.453332634761814,男性,0.08605399369415999,曇り,False,45577.16286995806
31,2023-01-31,札幌,C商品,42.0,1128.0959590401649,36.045385699183896,女性,0.0841365194280166,晴れ,True,43393.63944156003
32,2023-02-01,東京,A商品,72.0,961.8993788004377,9.145434487958433,男性,0.04792483807018326,曇り,False,65937.63649187642
33,2023-02-02,福岡,E商品,59.0,1064.8114056443121,38.81668882463295,女性,0.049219076479600554,晴れ,False,59731.73992637967
34,2023-02-03,大阪,A商品,,770.4617220368666,58.702105980261095,男性,0.08555597880301434,雪,True,30999.94107222085
35,2023-02-04,仙台,B商品,9999.0,,53.064448544248194,女性,0.23785201358205812,雪,False,37981.68499700929
36,2023-02-05,札幌,A商品,47.0,401.7728058198553,51.42279371715864,男性,0.27172703719093433,晴れ,True,13752.21276851526
37,2023-02-06,福岡,C商品,42.0,962.620768367603,40.8001004718828,女性,0.2925261509123044,曇り,False,28603.218848768895
38,2023-02-07,東京,A商品,71.0,673.9053512569719,25.814538956703206,女性,0.06968689622893579,曇り,False,44512.951507282
39,2023-02-08,東京,E商品,53.0,1241.1989033093632,52.72941482436701,女性,0.2643892636842275,晴れ,False,48391.07967641968
40,2023-02-09,名古屋,D商品,56.0,,32.485772849480625,男性,0.09847652678320111,雪,False,58334.84543994838
41,2023-02-10,名古屋,A商品,,1093.3341963932162,77.76145100070684,男性,0.03385216335506532,晴れ,False,46478.18861731029
42,2023-02-11,広島,E商品,42.0,1304.201245431876,53.55760812531774,男性,0.2610074776560497,雪,False,40479.388656244584
43,2023-02-12,大阪,E商品,46.0,810.2166958350325,36.29027546169073,男性,0.19083169039308556,晴れ,True,30157.67701247011
44,2023-02-13,金沢,C商品,48.0,1349.4726395831117,35.829221289170576,男性,0.04941926882431852,雪,False,61573.56904495158
45,2023-02-14,福岡,E商品,52.0,1186.438312852077,43.60583690079618,女性,0.12894937725390077,晴れ,False,53739.28722550091
46,2023-02-15,福岡,E商品,42.0,952.6889425562108,41.407471169673755,男性,0.08617730846312029,雨,False,36564.72849473389
47,2023-02-16,金沢,E商品,53.0,1227.124029436589,61.75250663294931,女性,0.2210383706130591,雪,False,50661.77427177907
48,2023-02-17,広島,E商品,58.0,778.7412975176732,47.7962425461607,女性,0.1360248691872804,曇り,False,39023.160634741726
49,2023-02-18,仙台,B商品,52.0,835.0971676944653,34.02552391637208,男性,0.2967839835319155,晴れ,False,30537.192588753856
50,2023-02-19,仙台,B商品,43.0,878.28205535206,73.35661027733674,女性,0.016423494677878535,曇り,True,37145.8765716833
51,2023-02-20,広島,C商品,45.0,894.204458387197,45.73962497280334,男性,0.106504579840874,晴れ,False,35953.54147146745
52,2023-02-21,仙台,A商品,51.0,788.6884714479495,56.532595139533456,男性,0.1445700501329932,曇り,False,34408.054719161686
53,2023-02-22,名古屋,E商品,32.0,1244.616613419065,35.87660238832861,男性,0.15094006642449592,曇り,False,33816.131171729925
54,2023-02-23,福岡,A商品,49.0,948.2291199260337,50.44673441616785,女性,0.09478074671569103,晴れ,False,42059.4075382122
55,2023-02-24,広島,A商品,46.0,1070.500993671376,49.666649867147925,男性,0.2187720747292704,晴れ,False,38470.0424331626
56,2023-02-25,福岡,C商品,32.0,885.9297267172639,16.655260618557705,男性,0.2624241220466924,曇り,False,20910.09267162943
57,2023-02-26,金沢,E商品,53.0,635.8793398902966,75.2291266569096,男性,0.2816157905933589,曇り,False,24210.7008738507
58,2023-02-27,東京,E商品,49.0,1054.0114716782844,64.35966691383821,女性,0.24152801303985785,曇り,True,39172.470584927985
59,2023-02-28,名古屋,D商品,50.0,617.5490049160446,39.04207025781019,男性,0.25517405919197983,雪,True,22998.325929082483
60,2023-03-01,札幌,A商品,41.0,986.2731907829062,28.46595389316217,女性,0.16516359018599866,雪,False,33758.44755724904
61,2023-03-02,名古屋,A商品,46.0,726.336992233438,50.21342420705328,女性,0.24776646792804435,雨,False,25133.251892544868
